2.0,5.0,1.0,0.0,3.0,2.0,1.0,24.0,28.42,17.68,8889.32,0.17,98.0,0.06,493.85,502.67,42.0,56.0,19.0,16.0,27.0,0
14.0,13.0,0.0,0.0,12.0,2.0,1.0,70.0,42.98,18.38,14512.58,0.26,136.0,0.05,806.25,789.8,49.0,87.0,32.0,24.0,86.0,1
4.0,1.0,0.0,1.0,1.0,1.0,1.0,10.0,33.53,9.75,3187.28,0.11,68.0,0.1,177.07,326.9,26.0,42.0,16.0,12.0,17.0,0
58.0,133.0,0.0,34.0,68.0,12.0,17.0,371.0,37.09,214.5,1706686.76,2.65,1347.0,0.0,94815.93,7956.58,561.0,786.0,34.0,26.0,465.0,1
18.0,17.0,0.0,26.0,9.0,4.0,1.0,62.0,35.0,25.5,22758.63,0.3,174.0,0.04,1264.37,892.5,68.0,106.0,20.0,15.0,108.0,0
17.0,25.0,5.0,4.0,16.0,10.0,4.0,89.0,46.52,47.69,105792.65,0.74,348.0,0.02,5877.37,2218.51,152.0,196.0,51.0,32.0,120.0,1
6.0,5.0,0.0,0.0,3.0,3.0,1.0,17.0,24.29,9.75,2309.16,0.08,51.0,0.1,128.28,236.84,18.0,33.0,12.0,13.0,25.0,0
4.0,13.0,0.0,2.0,7.0,5.0,1.0,33.0,42.38,18.79,14958.55,0.27,139.0,0.05,831.03,796.18,62.0,77.0,33.0,20.0,41.0,1
1.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,13.79,1.5,31.02,0.01,8.0,0.67,1.72,20.68,3.0,5.0,3.0,3.0,8.0,0
23.0,84.0,11.0,7.0,47.0,26.0,13.0,267.0,144.54,54.2,424664.6,2.61,1036.0,0.02,23592.48,7834.48,477.0,559.0,154.0,35.0,308.0,1
1.0,7.0,0.0,0.0,4.0,4.0,4.0,7.0,21.46,8.8,1662.05,0.06,43.0,0.11,92.34,188.87,16.0,27.0,10.0,11.0,10.0,0
8.0,13.0,0.0,1.0,7.0,2.0,1.0,36.0,29.13,36.42,38635.41,0.35,191.0,0.03,2146.41,1060.93,76.0,115.0,24.0,23.0,47.0,1
30.0,23.0,2.0,19.0,12.0,4.0,6.0,47.0,28.22,35.42,35409.67,0.33,179.0,0.03,1967.2,999.71,77.0,102.0,25.0,23.0,103.0,0
2.0,15.0,0.0,6.0,8.0,5.0,7.0,16.0,27.2,13.24,4764.71,0.12,72.0,0.08,264.71,360.0,30.0,42.0,17.0,15.0,24.0,1
3.0,13.0,0.0,0.0,7.0,3.0,7.0,35.0,23.2,27.6,17672.26,0.21,118.0,0.04,981.79,640.3,48.0,70.0,20.0,23.0,40.0,0
4.0,25.0,8.0,0.0,13.0,5.0,4.0,59.0,41.63,29.86,37113.97,0.41,217.0,0.03,2061.88,1242.96,91.0,126.0,32.0,21.0,75.0,1
1.0,3.0,0.0,0.0,2.0,2.0,1.0,3.0,10.99,6.4,449.97,0.02,19.0,0.16,25.0,70.31,8.0,11.0,5.0,8.0,6.0,0
2.0,3.0,0.0,0.0,2.0,2.0,1.0,15.0,49.11,4.93,1192.85,0.08,56.0,0.2,66.27,242.03,23.0,33.0,14.0,6.0,19.0,1
3.0,23.0,0.0,0.0,12.0,1.0,1.0,24.0,13.23,33.0,14404.99,0.15,101.0,0.03,800.28,436.51,44.0,57.0,8.0,12.0,29.0,0
19.0,35.0,9.0,16.0,18.0,18.0,13.0,69.0,60.79,29.5,52898.93,0.6,300.0,0.03,2938.83,1793.18,118.0,182.0,42.0,21.0,115.0,1
4.0,1.0,0.0,1.0,1.0,1.0,1.0,16.0,25.27,12.83,4162.24,0.11,69.0,0.08,231.24,324.33,22.0,47.0,12.0,14.0,24.0,0
13.0,14.0,0.0,0.0,9.0,6.0,1.0,40.0,38.42,16.81,10852.59,0.22,115.0,0.06,602.92,645.69,38.0,77.0,26.0,23.0,55.0,1
2.0,5.0,0.0,3.0,3.0,3.0,1.0,10.0,18.86,11.0,2281.98,0.07,48.0,0.09,126.78,207.45,18.0,30.0,9.0,11.0,17.0,0
28.0,6.0,11.0,13.0,4.0,4.0,1.0,21.0,28.78,14.61,6141.15,0.14,77.0,0.07,341.17,420.38,32.0,45.0,23.0,21.0,76.0,1
1.0,3.0,0.0,3.0,2.0,1.0,1.0,10.0,17.72,3.0,159.45,0.02,16.0,0.33,8.86,53.15,6.0,10.0,5.0,5.0,16.0,0
5.0,13.0,0.0,0.0,7.0,6.0,1.0,38.0,23.58,24.67,14348.35,0.19,121.0,0.04,797.13,581.69,37.0,84.0,12.0,16.0,45.0,1
3.0,7.0,0.0,0.0,4.0,2.0,1.0,9.0,15.54,13.2,2707.77,0.07,46.0,0.08,150.43,205.13,22.0,24.0,10.0,12.0,14.0,0
7.0,9.0,0.0,0.0,5.0,5.0,1.0,32.0,30.81,20.63,13113.3,0.21,126.0,0.05,728.52,635.59,56.0,70.0,19.0,14.0,41.0,1
33.0,32.0,0.0,0.0,23.0,19.0,1.0,102.0,60.99,33.1,66834.75,0.67,311.0,0.03,3713.04,2018.97,120.0,191.0,58.0,32.0,137.0,0
3.0,1.0,0.0,0.0,1.0,1.0,1.0,9.0,14.78,11.0,1788.9,0.05,39.0,0.09,99.38,162.63,14.0,25.0,7.0,11.0,14.0,1
3.0,5.0,0.0,0.0,3.0,2.0,1.0,11.0,14.89,7.0,729.74,0.03,25.0,0.14,40.54,104.25,7.0,18.0,6.0,12.0,16.0,0
7.0,27.0,9.0,0.0,14.0,10.0,7.0,59.0,42.97,30.52,40008.45,0.44,230.0,0.03,2222.69,1311.1,106.0,124.0,33.0,19.0,77.0,1
5.0,7.0,0.0,8.0,4.0,4.0,1.0,21.0,20.33,14.42,4229.55,0.1,61.0,0.07,234.97,293.25,25.0,36.0,13.0,15.0,36.0,0
21.0,113.0,0.0,30.0,57.0,40.0,47.0,122.0,132.52,30.46,122973.42,1.35,605.0,0.03,6831.86,4036.82,235.0,370.0,81.0,21.0,175.0,1
